c_id,subject,type,text,p.instruction_explicitness_of_instruction,p.instruction_obstacle_complex_np,p.instruction_obstacle_negation,p.instruction_obstacle_passive,p.item_1_answer_verbatim_explanatory_text,p.item_1_obstacle_complex_np,p.item_1_obstacle_negation,p.item_1_obstacle_passive,p.item_1_sentence_length,p.item_2_answer_verbatim_explanatory_text,p.item_2_obstacle_complex_np,p.item_2_obstacle_negation,p.item_2_obstacle_passive,p.item_2_sentence_length,p.item_3_answer_verbatim_explanatory_text,p.item_3_obstacle_complex_np,p.item_3_obstacle_negation,p.item_3_obstacle_passive,p.item_3_sentence_length,p.item_4_answer_verbatim_explanatory_text,p.item_4_obstacle_complex_np,p.item_4_obstacle_negation,p.item_4_obstacle_passive,p.item_4_sentence_length,p.item_5_answer_verbatim_explanatory_text,p.item_5_obstacle_complex_np,p.item_5_obstacle_negation,p.item_5_obstacle_passive,p.item_5_sentence_length,p.item_6_answer_verbatim_explanatory_text,p.item_6_obstacle_complex_np,p.item_6_obstacle_negation,p.item_6_obstacle_passive,p.item_6_sentence_length,p.item_7_answer_verbatim_explanatory_text,p.item_7_obstacle_complex_np,p.item_7_obstacle_negation,p.item_7_obstacle_passive,p.item_7_sentence_length,p.item_8_answer_verbatim_explanatory_text,p.item_8_obstacle_complex_np,p.item_8_obstacle_negation,p.item_8_obstacle_passive,p.item_8_sentence_length,p.mathematical_requirement_level,p.root_text_contains_irrelevant_information,p.root_text_obstacle_complex_np,p.root_text_obstacle_negation,p.root_text_obstacle_passive,p.root_text_reference_explanatory_text,p.taxanomy_level,p.variation,answers,p.instruction_number_of_sentences
123-3-3,9,multiple-choice,Eine bekannte Sängerin hat ein Konzert in Berlin angekündigt. Ab dem 1. des nächsten Monats können Tickets über einen Online-Ticketshop gekauft werden. Die Anzahl ist auf 10.000 Stück limitiert. Wer nicht rechtzeitig kauft erhält keine Tickets mehr für das Konzert. Welche Verteilungsmechanismen werden hier miteinander kombiniert? <option> Zuteilung und Markt <option> Windhund-Verfahren und Verlosung <option> Verlosung und Markt <option> Zuteilung und Verlosung <option> Markt und Windhund-Verfahren <option> Windhund-Verfahren und Zuteilung ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 2,schwer,Markt und Windhund-Verfahren,5
121-3-4,9,multiple-choice,"In welchen der folgenden Verteilungssituationen werden die Güter über einen Markt verteilt? <option> Svenja verteilt ihre Süßigkeiten unter ihren besten Freundinnen und Freunden so, dass alle gleich viel bekommen. <option> Björn tauscht eine seltene Sammelkarte gegen drei andere Sammelkarten. <option> In einem Blumenladen werden frische Tulpen verkauft. <option> Ein Friseur schneidet Bedürftigen samstags kostenlos die Haare. <option> Mustafa versteigert seine alte Spielekonsole in einem Online-Auktionshaus. ",,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 2,schwer,Björn tauscht eine seltene Sammelkarte gegen drei andere Sammelkarten.; In einem Blumenladen werden frische Tulpen verkauft.; Mustafa versteigert seine alte Spielekonsole in einem Online-Auktionshaus.,1
121-2-4,9,multiple-choice,"In welchen zwei der folgenden Verteilungssituationen werden die Güter über einen Markt verteilt? Kreuze die zwei richtigen Antwortmöglichkeiten an. <option> Svenja verteilt ihre Süßigkeiten unter ihren besten Freundinnen und Freunden so, dass alle gleich viel bekommen. <option> Björn tauscht eine seltene Sammelkarte gegen drei andere Sammelkarten. <option> In einem Blumenladen werden frische Tulpen verkauft. ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 2,leicht,Björn tauscht eine seltene Sammelkarte gegen drei andere Sammelkarten.; In einem Blumenladen werden frische Tulpen verkauft.,2
117-3-5,9,single-choice,"Wähle die richtige Antwort aus! <option> Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden. <option> Güter werden als einheitliches Tauschmittel verwendet. <option> Güter können immer nur über einen Verteilungsmechanismus verteilt werden. ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,"Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden.",1
116-3-4,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Märkte sorgen dafür, dass solche Güter hergestellt werden, für die ein Bedarf besteht.  <true-false> Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  <true-false> Märkte verteilen knappe Güter anhand festgelegter Kriterien.  <true-false> Durch Märkte bekommen nur diejenigen die Güter, die über Kaufkraft und -bereitschaft verfügen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"Märkte sorgen dafür, dass solche Güter hergestellt werden, für die ein Bedarf besteht.; Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte.; Durch Märkte bekommen nur diejenigen die Güter, die über Kaufkraft und -bereitschaft verfügen.",1
116-3-3,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Märkte sorgen dafür, dass solche Güter hergestellt werden, für die ein Bedarf besteht.  <true-false> Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  <true-false> Märkte verteilen knappe Güter anhand festgelegter Kriterien.  <true-false> Durch Märkte bekommen nur diejenigen die Güter, die über Kaufkraft und -bereitschaft verfügen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht.; Märkte verteilen knappe Güter zufällig.; Märkte verteilen knappe Güter anhand festgelegter Kriterien.,1
116-2-3,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Märkte sorgen dafür, dass solche Güter hergestellt und verkauft werden, die die Menschen auch haben wollen. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,"Märkte sorgen dafür, dass solche Güter hergestellt und verkauft werden, die die Menschen auch haben wollen.",1
116-2-2,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Märkte sorgen dafür, dass solche Güter hergestellt und verkauft werden, die die Menschen auch haben wollen. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht.; Märkte verteilen knappe Güter zufällig.,1
116-1-3,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Auf funktionierenden Märkten werden nur solche Güter angeboten, für die ein Bedarf besteht.  <true-false> Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,Stammaufgabe,"Auf funktionierenden Märkten werden nur solche Güter angeboten, für die ein Bedarf besteht.; Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte.",1
116-1-2,9,true-false,"Entscheide, ob die Aussagen richtig oder falsch sind. <true-false> Auf funktionierenden Märkten werden nur solche Güter angeboten, für die ein Bedarf besteht.  <true-false> Der Preis, den jemand für ein Gut bereit ist zu bezahlen, zeigt an, wie dringend diese Person das Gut haben möchte. <true-false> In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht. <true-false> Märkte verteilen knappe Güter zufällig.  ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,Stammaufgabe,In der Regel werden Sachgüter gegen Sachgüter und Dienstleistungen gegen Dienstleistungen getauscht.; Märkte verteilen knappe Güter zufällig.,1
117-1-2,9,multiple-choice,"Wähle die richtigen Antworten aus! <option> Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden. <option> Güter werden als einheitliches Tauschmittel verwendet. <option> Güter können immer nur über einen Verteilungsmechanismus verteilt werden. <option> Auf Märkten werden in der Regel solche Güter angeboten, für die es auch Käuferinnen und Käufer gibt. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,Stammaufgabe,"Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden.; Auf Märkten werden in der Regel solche Güter angeboten, für die es auch Käuferinnen und Käufer gibt.",1
114-3-2,9,multiple-choice,Bei welchem Verteilungsmechanismus werden Güter über den Tausch gegen andere Güter oder Geld verteilt? <option> Markt <option> Verlosung <option> Windhund-Verfahren <option> Zuteilung <option> Austausch <option> Verteilung <option> Aushändigung <option> Allokation ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 1,schwer,Markt,1
114-2-2,9,single-choice,Bei welchem Verteilungsmechanismus werden Güter über den Tausch gegen andere Güter oder Geld verteilt? <option> Markt <option> Verlosung <option> Windhund-Verfahren <option> Zuteilung ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 1,leicht,Markt,1
114-1-2,9,multiple-choice,Bei welchem Verteilungsmechanismus werden Güter über den Tausch gegen andere Güter oder Geld verteilt? <option> Markt <option> Verlosung <option> Windhund-Verfahren <option> Zuteilung <option> Austausch <option> Verteilung ,,,,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Implizit,Stufe 1,Stammaufgabe,Markt,1
117-2-4,9,multiple-choice,"Wähle die richtigen Antworten aus! <option> Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden. <option> Güter werden als einheitliches Tauschmittel verwendet. <option> Güter können immer nur über einen Verteilungsmechanismus verteilt werden. <option> Auf Märkten werden in der Regel solche Güter angeboten, für die es auch Käuferinnen und Käufer gibt. <option> Der Preis eines Gutes zeigt, wie dringend jemand etwas haben möchte. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden.; Auf Märkten werden in der Regel solche Güter angeboten, für die es auch Käuferinnen und Käufer gibt.; Der Preis eines Gutes zeigt, wie dringend jemand etwas haben möchte.",1
117-3-4,9,single-choice,"Wähle die richtige Antwort aus! <option> Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden <option> Güter werden als einheitliches Tauschmittel verwendet. <option> Güter können immer nur über einen Verteilungsmechanismus verteilt werden. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,leicht,"Güter können u. a. über die Zuteilung, das Windhund-Verfahren, die Verlosung und Märkte verteilt werden",1
138-3-3,10,true-false,"Welche Aussagen zu den Interessen von Anbietern und Nachfragern auf dem Markt sind richtig? <true-false> Anbieter wollen einen möglichst niedrigen Preis. <true-false> Nachfrager wollen einen möglichst hohen Preis. <true-false> Nachfrager wollen einen möglichst niedrigen Preis. <true-false> Anbieter wollen einen möglichst hohen Preis. <true-false> Nachfrager wollen Güter verkaufen, um ihre Bedürfnisse zu befriedigen. <true-false> Anbieter wollen Güter verkaufen. ",Implizit,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,Nachfrager wollen einen möglichst niedrigen Preis.; Anbieter wollen einen möglichst hohen Preis.; Anbieter wollen Güter verkaufen.,1
138-3-1,10,true-false,"Welche Aussagen zu den Interessen von Anbietern und Nachfragern auf dem Markt sind richtig? <true-false> Anbieter wollen einen möglichst niedrigen Preis. <true-false> Nachfrager wollen einen möglichst hohen Preis. <true-false> Nachfrager wollen einen möglichst niedrigen Preis. <true-false> Anbieter wollen einen möglichst hohen Preis. <true-false> Nachfrager wollen Güter verkaufen, um ihre Bedürfnisse zu befriedigen. <true-false> Anbieter wollen Güter verkaufen. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,schwer,"Anbieter wollen einen möglichst niedrigen Preis.; Nachfrager wollen einen möglichst hohen Preis.; Nachfrager wollen Güter verkaufen, um ihre Bedürfnisse zu befriedigen.",1
138-2-3,10,true-false,Welche Aussagen zu den Interessen von Anbietern und Nachfragern auf dem Markt sind richtig? Wähle die zwei korrekten Aussagen aus! <true-false> Anbieter wollen einen möglichst niedrigen Preis erzielen. <true-false> Nachfrager wollen Güter zu möglichst hohen Preisen einkaufen. <true-false> Nachfrager wollen Güter zu möglichst niedrigen Preisen einkaufen. <true-false> Anbieter wollen einen möglichst hohen Preis erzielen. ,Explizit,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,Nachfrager wollen Güter zu möglichst niedrigen Preisen einkaufen.; Anbieter wollen einen möglichst hohen Preis erzielen.,2
138-2-2,10,true-false,Welche Aussagen zu den Interessen von Anbietern und Nachfragern auf dem Markt sind richtig? Wähle die zwei korrekten Aussagen aus! <true-false> Anbieter wollen einen möglichst niedrigen Preis erzielen. <true-false> Nachfrager wollen Güter zu möglichst hohen Preisen einkaufen. <true-false> Nachfrager wollen Güter zu möglichst niedrigen Preisen einkaufen. <true-false> Anbieter wollen einen möglichst hohen Preis erzielen. ,Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,Anbieter wollen einen möglichst niedrigen Preis erzielen.; Nachfrager wollen Güter zu möglichst hohen Preisen einkaufen.,2
137-2-5,10,multiple-choice,"Auf Märkten treffen sich Angebot und Nachfrage. Dabei bezeichnet das Angebot… <option> die Menge an Gütern, die Akteure auf einem Markt kaufen wollen. <option> die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen. <option> den günstigen Preis eines Produktes aus der Werbung.  <option> die Personen, die etwas auf einem Markt verkaufen wollen. <option> das Sortiment bzw. die Produkte, die von einem Anbieter verkauft werden. <option> alle Sachgüter und Dienstleistungen, die gekauft oder getauscht werden können. ",,,,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,schwer,"die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen.; alle Sachgüter und Dienstleistungen, die gekauft oder getauscht werden können.",2
138-1-1,10,true-false,Welche Aussagen zu den Interessen von Anbietern und Nachfragern auf dem Markt sind richtig? <true-false> Anbieter wollen einen möglichst niedrigen Preis. <true-false> Nachfrager wollen einen möglichst hohen Preis. <true-false> Nachfrager wollen einen möglichst niedrigen Preis. <true-false> Anbieter wollen einen möglichst hohen Preis. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,Stammaufgabe,Anbieter wollen einen möglichst niedrigen Preis.; Nachfrager wollen einen möglichst hohen Preis.,1
137-2-4,10,multiple-choice,"Auf Märkten treffen sich Angebot und Nachfrage. Dabei bezeichnet das Angebot… <option> die Menge an Gütern, die Akteure auf einem Markt kaufen wollen. <option> die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen. <option> den günstigen Preis eines Produktes aus der Werbung.  <option> die Personen, die etwas auf einem Markt verkaufen wollen. <option> das Sortiment bzw. die Produkte, die von einem Anbieter verkauft werden. <option> alle Sachgüter und Dienstleistungen, die gekauft oder getauscht werden können. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,schwer,"die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen.; alle Sachgüter und Dienstleistungen, die gekauft oder getauscht werden können.",2
137-3-5,10,single-choice,"Auf Märkten treffen sich Angebot und Nachfrage. Dabei bezeichnet das Angebot… <option> die Menge an Gütern, die Akteure auf einem Markt kaufen wollen. <option> die Summe aller auf einem Markt angebotenen Güter. <option> den günstigen Preis eines Produktes aus der Werbung.  <option> die Personen, die etwas auf einem Markt verkaufen wollen. ",,,,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,leicht,die Summe aller auf einem Markt angebotenen Güter.,2
137-1-5,10,multiple-choice,"Auf Märkten treffen sich Angebot und Nachfrage. Dabei bezeichnet das Angebot… <option> die Menge an Gütern, die Akteure auf einem Markt kaufen wollen. <option> die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen. <option> den günstigen Preis eines Produktes aus der Werbung.  <option> die Personen, die etwas auf einem Markt verkaufen wollen. ",,,,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,Stammaufgabe,"die Menge an Gütern, die Akteure auf einem Markt verkaufen wollen.",2
136-3-2,10,multiple-choice,"Unter der Nachfrage versteht man in der Wirtschaft … <option> die Menge an Gütern, die Käufer und Käuferinnen auf einem Markt kaufen wollen. <option> die Menge an Gütern, die Verkäufer und Verkäuferinnen auf einem Markt verkaufen wollen. <option> die Bitte, das Gesagte zu wiederholen, weil man es nicht verstanden hat. <option> die Bestätigung eines Käufers, ein gehandeltes Gut kaufen zu wollen. <option> die Personen, die etwas auf einem Markt kaufen wollen. <option> die Personen, die auf einem Markt fragen, ob man ihr Produkt kaufen will. ",,,,,Enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,schwer,"die Menge an Gütern, die Käufer und Käuferinnen auf einem Markt kaufen wollen.; die Bestätigung eines Käufers, ein gehandeltes Gut kaufen zu wollen.",1
136-1-3,10,multiple-choice,"Unter der Nachfrage versteht man in der Wirtschaft … <option> die Menge an Gütern, die Käufer und Käuferinnen auf einem Markt kaufen wollen. <option> die Menge an Gütern, die Verkäufer und Verkäuferinnen auf einem Markt verkaufen wollen. <option> die Bitte, das Gesagte zu wiederholen, weil man es nicht verstanden hat. <option> die Personen, die etwas auf einem Markt kaufen wollen. ",,,,,Enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Explizit,Stufe 1,Stammaufgabe,"die Menge an Gütern, die Käufer und Käuferinnen auf einem Markt kaufen wollen.",1
